,0,1,2,3
0,United_Kingdom,2020-05-19,248195.0,"[[3918.]
 [3909.]
 [3446.]
 [3661.]
 [3479.]
 [3317.]]"
1,Ukraine,2020-05-19,18484.0,"[[409.]
 [423.]
 [400.]
 [416.]
 [410.]
 [400.]]"
2,Turkey,2020-05-19,148791.0,"[[1325.]
 [1297.]
 [1359.]
 [1192.]
 [1126.]
 [1014.]]"
3,Switzerland,2020-05-19,30515.0,"[[34.]
 [46.]
 [49.]
 [30.]
 [29.]
 [28.]]"
4,Sweden,2020-05-19,30975.0,"[[621.]
 [730.]
 [691.]
 [651.]
 [453.]
 [555.]]"
5,Spain,2020-05-19,235091.0,"[[1152.]
 [1417.]
 [1110.]
 [1145.]
 [1161.]
 [1075.]]"
6,Slovenia,2020-05-19,1456.0,"[[-1.]
 [-1.]
 [-3.]
 [-1.]
 [-1.]
 [-1.]]"
7,Slovakia,2020-05-19,1530.0,"[[15.]
 [21.]
 [16.]
 [ 9.]
 [ 2.]
 [ 1.]]"
8,Serbia,2020-05-19,11136.0,"[[ 82.]
 [116.]
 [140.]
 [150.]
 [183.]
 [219.]]"
9,San_Marino,2020-05-19,739.0,"[[ 22.]
 [ 40.]
 [ 45.]
 [  8.]
 [-14.]
 [ -2.]]"
10,Russia,2020-05-19,308023.0,"[[11940.]
 [12487.]
 [12657.]
 [12665.]
 [12926.]
 [13103.]]"
11,Romania,2020-05-19,17071.0,"[[272.]
 [236.]
 [231.]
 [182.]
 [206.]
 [165.]]"
12,Portugal,2020-05-19,29350.0,"[[302.]
 [214.]
 [ 54.]
 [423.]
 [305.]
 [137.]]"
13,Poland,2020-05-19,18963.0,"[[271.]
 [289.]
 [325.]
 [359.]
 [361.]
 [434.]]"
14,Norway,2020-05-19,8354.0,"[[45.]
 [55.]
 [38.]
 [19.]
 [28.]
 [31.]]"
15,North_Macedonia,2020-05-19,1786.0,"[[26.]
 [36.]
 [18.]
 [ 9.]
 [12.]
 [ 9.]]"
16,Netherlands,2020-05-19,44110.0,"[[178.]
 [227.]
 [221.]
 [182.]
 [185.]
 [130.]]"
17,Montenegro,2020-05-19,324.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
18,Monaco,2020-05-19,96.0,"[[ 0.]
 [ 0.]
 [ 0.]
 [ 0.]
 [ 0.]
 [-1.]]"
19,Moldova,2020-05-19,5803.0,"[[ 90.]
 [ 98.]
 [ 79.]
 [117.]
 [ 93.]
 [169.]]"
20,Malta,2020-05-19,520.0,"[[1.]
 [3.]
 [4.]
 [2.]
 [2.]
 [2.]]"
21,Luxembourg,2020-05-19,3957.0,"[[ 9.]
 [ 9.]
 [ 9.]
 [ 5.]
 [11.]
 [18.]]"
22,Lithuania,2020-05-19,1641.0,"[[20.]
 [31.]
 [27.]
 [19.]
 [24.]
 [27.]]"
23,Liechtenstein,2020-05-19,82.0,"[[-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]]"
24,Latvia,2020-05-19,975.0,"[[-1.]
 [ 9.]
 [ 8.]
 [ 4.]
 [ 0.]
 [ 4.]]"
25,Kosovo,2020-05-19,1141.0,"[[ 2.]
 [26.]
 [47.]
 [31.]
 [39.]
 [75.]]"
26,Kazakhstan,2020-05-19,6329.0,"[[136.]
 [174.]
 [163.]
 [133.]
 [169.]
 [134.]]"
27,Jersey,2020-05-19,295.0,"[[ 0.]
 [-1.]
 [ 0.]
 [ 0.]
 [ 0.]
 [ 0.]]"
28,Italy,2020-05-19,227839.0,"[[1028.]
 [1122.]
 [1245.]
 [1126.]
 [1212.]
 [ 887.]]"
29,Isle_of_Man,2020-05-19,334.0,"[[0.]
 [1.]
 [0.]
 [0.]
 [0.]
 [0.]]"
30,Ireland,2020-05-19,23825.0,"[[116.]
 [109.]
 [ 60.]
 [124.]
 [ 71.]
 [101.]]"
31,Iceland,2020-05-19,1802.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
32,Hungary,2020-05-19,3463.0,"[[29.]
 [23.]
 [15.]
 [19.]
 [18.]
 [17.]]"
33,Holy_See,2020-05-19,12.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
34,Guernsey,2020-05-19,252.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
35,Greece,2020-05-19,2850.0,"[[23.]
 [15.]
 [18.]
 [16.]
 [16.]
 [16.]]"
36,Gibraltar,2020-05-19,151.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
37,Germany,2020-05-19,176044.0,"[[789.]
 [760.]
 [771.]
 [653.]
 [884.]
 [878.]]"
38,Georgia,2020-05-19,671.0,"[[11.]
 [ 1.]
 [ 3.]
 [11.]
 [ 0.]
 [ 0.]]"
39,France,2020-05-19,141315.0,"[[ 999.]
 [ 568.]
 [-405.]
 [-609.]
 [ 504.]
 [  28.]]"
40,Finland,2020-05-19,6369.0,"[[48.]
 [55.]
 [74.]
 [84.]
 [61.]
 [42.]]"
41,Faroe_Islands,2020-05-19,187.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
42,Estonia,2020-05-19,1763.0,"[[2.]
 [0.]
 [3.]
 [2.]
 [5.]
 [3.]]"
43,Denmark,2020-05-19,11217.0,"[[ 97.]
 [104.]
 [143.]
 [110.]
 [ 83.]
 [ 87.]]"
44,Czechia,2020-05-19,8464.0,"[[28.]
 [23.]
 [51.]
 [49.]
 [50.]
 [39.]]"
45,Cyprus,2020-05-19,929.0,"[[4.]
 [3.]
 [4.]
 [5.]
 [4.]
 [4.]]"
46,Croatia,2020-05-19,2464.0,"[[21.]
 [52.]
 [40.]
 [45.]
 [50.]
 [46.]]"
47,Bulgaria,2020-05-19,2305.0,"[[54.]
 [85.]
 [50.]
 [50.]
 [ 7.]
 [34.]]"
48,Bosnia_and_Herzegovina,2020-05-19,2548.0,"[[63.]
 [67.]
 [52.]
 [56.]
 [70.]
 [81.]]"
49,Belgium,2020-05-19,55632.0,"[[309.]
 [304.]
 [293.]
 [347.]
 [309.]
 [289.]]"
50,Belarus,2020-05-19,30677.0,"[[940.]
 [970.]
 [987.]
 [970.]
 [949.]
 [985.]]"
51,Azerbaijan,2020-05-19,3160.0,"[[90.]
 [83.]
 [76.]
 [73.]
 [74.]
 [67.]]"
52,Austria,2020-05-19,16160.0,"[[30.]
 [40.]
 [45.]
 [46.]
 [43.]
 [43.]]"
53,Armenia,2020-05-19,4351.0,"[[152.]
 [139.]
 [124.]
 [148.]
 [142.]
 [106.]]"
54,Andorra,2020-05-19,771.0,"[[1.]
 [2.]
 [2.]
 [2.]
 [2.]
 [2.]]"
55,Albania,2020-05-19,926.0,"[[ 4.]
 [-1.]
 [12.]
 [ 2.]
 [15.]
 [16.]]"
