,0,1,2,3
0,Albania,2020-05-12,842.3566994667053,"[[6.94498301]
 [7.23598528]
 [6.31214905]
 [6.25060081]
 [6.04357052]
 [5.53178072]
 [5.35153437]
 [5.02344799]
 [4.66264772]]"
1,Andorra,2020-05-12,753.5012691617012,"[[0.86875427]
 [0.75024927]
 [0.73071712]
 [0.7089442 ]
 [0.69463617]
 [0.69020903]
 [0.68707228]
 [0.68563896]
 [0.68504786]]"
2,Armenia,2020-05-12,3751.781448364258,"[[133.92131042]
 [117.31289673]
 [145.30741882]
 [152.04223633]
 [157.40223694]
 [174.55661011]
 [185.13883972]
 [198.68087769]
 [214.41902161]]"
3,Austria,2020-05-12,16069.123092651367,"[[69.14519501]
 [61.76003647]
 [49.31986237]
 [59.48573685]
 [57.32907867]
 [52.207901  ]
 [55.03033447]
 [54.49797821]
 [52.3469696 ]]"
4,Azerbaijan,2020-05-12,2282.3939208984375,"[[43.02989197]
 [43.13629532]
 [42.90566254]
 [43.13333893]
 [43.17667007]
 [43.2100296 ]
 [43.24758148]
 [43.26912308]
 [43.28532791]]"
5,Belarus,2020-05-12,23168.06463623047,"[[838.33856201]
 [857.31921387]
 [853.52874756]
 [816.02716064]
 [819.47369385]
 [808.93286133]
 [787.98937988]
 [784.56329346]
 [773.89172363]]"
6,Belgium,2020-05-12,53066.62417602539,"[[484.87234497]
 [432.18719482]
 [409.05844116]
 [390.48641968]
 [366.52532959]
 [352.38537598]
 [344.86294556]
 [363.7699585 ]
 [405.47616577]]"
7,Bosnia_and_Herzegovina,2020-05-12,2188.2226181030273,"[[26.40830231]
 [32.94488907]
 [44.14363861]
 [35.19485474]
 [45.20573044]
 [40.18275833]
 [43.55379105]
 [41.17954636]
 [40.40910721]]"
8,Bulgaria,2020-05-12,1909.508316040039,"[[37.54428482]
 [49.79813766]
 [22.63116646]
 [36.14943314]
 [38.42783356]
 [30.16636086]
 [34.70051956]
 [34.05394363]
 [32.03663635]]"
9,Croatia,2020-05-12,2225.115828514099,"[[12.89618969]
 [10.18640614]
 [ 9.98439312]
 [14.79194164]
 [14.42555523]
 [16.14159966]
 [18.49765587]
 [19.2633419 ]
 [20.92874527]]"
10,Cyprus,2020-05-12,951.008903503418,"[[ 7.77626657]
 [ 7.94377947]
 [ 8.34065628]
 [ 9.00807762]
 [ 9.4346838 ]
 [10.06178093]
 [10.78280354]
 [11.44130325]
 [12.21955204]]"
11,Czechia,2020-05-12,8290.682708740234,"[[35.63262177]
 [66.69109344]
 [55.64915848]
 [56.984375  ]
 [63.34410477]
 [64.46131134]
 [63.83693695]
 [64.31179047]
 [64.77131653]]"
12,Denmark,2020-05-12,10593.97663116455,"[[123.06902313]
 [122.71102142]
 [125.08454132]
 [130.58827209]
 [132.66036987]
 [135.03286743]
 [137.50007629]
 [139.30395508]
 [141.02650452]]"
13,Estonia,2020-05-12,1769.065378189087,"[[11.69586563]
 [ 6.37311077]
 [ 7.00381613]
 [ 8.53211117]
 [ 7.06156683]
 [ 7.32789993]
 [ 7.623631  ]
 [ 7.19433308]
 [ 7.25304365]]"
14,Faroe_Islands,2020-05-12,186.9979424001649,"[[-0.00014164]
 [-0.00016399]
 [-0.00019263]
 [-0.00022848]
 [-0.00024353]
 [-0.00025779]
 [-0.00026964]
 [-0.00027695]
 [-0.00028295]]"
