 ,0,1,2,3
0,Albania,2020-05-12,841.0,"[[6.]
 [5.]
 [6.]
 [5.]
 [4.]
 [5.]
 [4.]]"
1,Andorra,2020-05-12,756.0,"[[0.]
 [0.]
 [1.]
 [0.]
 [0.]
 [0.]
 [0.]]"
2,Armenia,2020-05-12,3359.0,"[[119.]
 [120.]
 [121.]
 [121.]
 [122.]
 [123.]
 [123.]]"
3,Austria,2020-05-12,15792.0,"[[27.]
 [22.]
 [23.]
 [23.]
 [24.]
 [24.]
 [24.]]"
4,Azerbaijan,2020-05-12,2321.0,"[[40.]
 [49.]
 [46.]
 [49.]
 [50.]
 [50.]
 [52.]]"
5,Belarus,2020-05-12,23522.0,"[[869.]
 [843.]
 [849.]
 [862.]
 [862.]
 [869.]
 [875.]]"
6,Belgium,2020-05-12,51949.0,"[[313.]
 [280.]
 [250.]
 [227.]
 [210.]
 [201.]
 [199.]]"
7,Bosnia_and_Herzegovina,2020-05-12,2182.0,"[[31.]
 [49.]
 [32.]
 [37.]
 [32.]
 [36.]
 [36.]]"
8,Bulgaria,2020-05-12,1860.0,"[[21.]
 [28.]
 [30.]
 [29.]
 [31.]
 [32.]
 [33.]]"
9,Croatia,2020-05-12,2125.0,"[[4.]
 [4.]
 [3.]
 [3.]
 [3.]
 [2.]
 [2.]]"
10,Cyprus,2020-05-12,903.0,"[[8.]
 [3.]
 [4.]
 [3.]
 [3.]
 [3.]
 [2.]]"
11,Czechia,2020-05-12,8254.0,"[[55.]
 [69.]
 [60.]
 [41.]
 [50.]
 [74.]
 [83.]]"
12,Denmark,2020-05-12,10705.0,"[[143.]
 [140.]
 [145.]
 [149.]
 [150.]
 [152.]
 [154.]]"
13,Estonia,2020-05-12,1718.0,"[[2.]
 [2.]
 [2.]
 [2.]
 [2.]
 [2.]
 [1.]]"
14,Faroe_Islands,2020-05-12,187.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
15,Finland,2020-05-12,5986.0,"[[100.]
 [108.]
 [ 74.]
 [ 85.]
 [109.]
 [ 96.]
 [ 84.]]"
16,France,2020-05-12,135244.0,"[[594.]
 [535.]
 [496.]
 [485.]
 [447.]
 [419.]
 [401.]]"
17,Georgia,2020-05-12,643.0,"[[ 3.]
 [ 6.]
 [ 5.]
 [ 6.]
 [ 8.]
 [ 8.]
 [10.]]"
18,Germany,2020-05-12,168236.0,"[[664.]
 [652.]
 [637.]
 [624.]
 [611.]
 [598.]
 [586.]]"
19,Gibraltar,2020-05-12,144.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
20,Greece,2020-05-12,2701.0,"[[16.]
 [ 7.]
 [ 8.]
 [ 8.]
 [ 9.]
 [ 9.]
 [ 9.]]"
21,Guernsey,2020-05-12,251.0,"[[-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]]"
22,Holy_See,2020-05-12,11.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
23,Hungary,2020-05-12,3397.0,"[[42.]
 [41.]
 [43.]
 [47.]
 [49.]
 [52.]
 [55.]]"
24,Iceland,2020-05-12,1800.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
25,Ireland,2020-05-12,24314.0,"[[295.]
 [225.]
 [411.]
 [384.]
 [324.]
 [470.]
 [479.]]"
26,Isle_of_Man,2020-05-12,398.0,"[[ 4.]
 [ 4.]
 [ 8.]
 [ 9.]
 [11.]
 [17.]
 [17.]]"
27,Italy,2020-05-12,219112.0,"[[1310.]
 [1152.]
 [1045.]
 [1024.]
 [ 944.]
 [ 868.]
 [ 829.]]"
28,Jersey,2020-05-12,307.0,"[[4.]
 [0.]
 [1.]
 [3.]
 [0.]
 [1.]
 [2.]]"
29,Kosovo,2020-05-12,901.0,"[[11.]
 [ 7.]
 [ 8.]
 [ 4.]
 [ 5.]
 [ 4.]
 [ 4.]]"
30,Latvia,2020-05-12,986.0,"[[ 6.]
 [ 9.]
 [18.]
 [11.]
 [12.]
 [16.]
 [14.]]"
31,Liechtenstein,2020-05-12,82.0,"[[-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]]"
32,Lithuania,2020-05-12,1601.0,"[[10.]
 [17.]
 [24.]
 [30.]
 [32.]
 [33.]
 [33.]]"
33,Luxembourg,2020-05-12,3935.0,"[[15.]
 [24.]
 [18.]
 [12.]
 [ 6.]
 [10.]
 [19.]]"
34,Malta,2020-05-12,523.0,"[[2.]
 [4.]
 [5.]
 [6.]
 [7.]
 [8.]
 [9.]]"
35,Moldova,2020-05-12,5038.0,"[[122.]
 [113.]
 [104.]
 [100.]
 [111.]
 [119.]
 [117.]]"
36,Monaco,2020-05-12,94.0,"[[-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]
 [-1.]]"
37,Montenegro,2020-05-12,325.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
38,Netherlands,2020-05-12,43887.0,"[[297.]
 [448.]
 [432.]
 [485.]
 [504.]
 [502.]
 [446.]]"
39,North_Macedonia,2020-05-12,1632.0,"[[ 9.]
 [10.]
 [13.]
 [15.]
 [19.]
 [22.]
 [24.]]"
40,Norway,2020-05-12,8164.0,"[[23.]
 [61.]
 [69.]
 [45.]
 [45.]
 [32.]
 [39.]]"
41,Poland,2020-05-12,16070.0,"[[292.]
 [301.]
 [299.]
 [293.]
 [294.]
 [292.]
 [289.]]"
42,Portugal,2020-05-12,27465.0,"[[191.]
 [398.]
 [ 96.]
 [340.]
 [277.]
 [311.]
 [325.]]"
43,Romania,2020-05-12,15017.0,"[[337.]
 [258.]
 [217.]
 [202.]
 [177.]
 [161.]
 [150.]]"
44,Russia,2020-05-12,250580.0,"[[11982.]
 [12740.]
 [13745.]
 [14874.]
 [16018.]
 [17293.]
 [18657.]]"
45,San_Marino,2020-05-12,588.0,"[[0.]
 [1.]
 [0.]
 [0.]
 [1.]
 [1.]
 [1.]]"
46,Serbia,2020-05-12,10747.0,"[[105.]
 [164.]
 [157.]
 [159.]
 [195.]
 [204.]
 [203.]]"
47,Slovakia,2020-05-12,1483.0,"[[ 5.]
 [ 5.]
 [ 7.]
 [ 9.]
 [11.]
 [13.]
 [16.]]"
48,Slovenia,2020-05-12,1449.0,"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
49,Spain,2020-05-12,225463.0,"[[1668.]
 [1049.]
 [ 936.]
 [1031.]
 [ 946.]
 [ 921.]
 [ 897.]]"
50,Sweden,2020-05-12,25331.0,"[[306.]
 [184.]
 [389.]
 [399.]
 [474.]
 [449.]
 [406.]]"
51,Switzerland,2020-05-12,30580.0,"[[ 72.]
 [131.]
 [115.]
 [110.]
 [ 94.]
 [ 81.]
 [ 76.]]"
52,Ukraine,2020-05-12,16236.0,"[[268.]
 [671.]
 [607.]
 [539.]
 [685.]
 [567.]
 [567.]]"
53,United_Kingdom,2020-05-12,222297.0,"[[4447.]
 [4429.]
 [4383.]
 [4530.]
 [4587.]
 [4626.]
 [4708.]]"
